SURVEY_YEAR,MT_IMMATURE_MALE,CV_MT_IMMATURE_MALE,CI_MT_IMMATURE_MALE,MT_MATURE_MALE,CV_MT_MATURE_MALE,CI_MT_MATURE_MALE,MT_LEGAL,CV_MT_LEGAL,CI_MT_LEGAL,MT_P3,CV_MT_P3,CI_MT_P3,MT_P2,CV_MT_P2,CI_MT_P2,MT_P1,CV_MT_P1,CI_MT_P1,MT_MALE_GE105,CV_MT_MALE_GE105,CI_MT_MALE_GE105,MT_RECRUIT,CV_MT_RECRUIT,CI_MT_RECRUIT,MT_POSTRECRUIT,CV_MT_POSTRECRUIT,CI_MT_POSTRECRUIT,MT_MALE_TOTAL,CV_MT_MALE_TOTAL,CI_MT_MALE_TOTAL,MT_IMMATURE_FEMALE,CV_MT_IMMATURE_FEMALE,CI_MT_IMMATURE_FEMALE,MT_MATURE_FEMALE,CV_MT_MATURE_FEMALE,CI_MT_MATURE_FEMALE,MT_FEMALE_TOTAL,CV_MT_FEMALE_TOTAL,CI_MT_FEMALE_TOTAL
2003,0.247089178,0.699623553,0.33882404,5279.82151,0.657792454,6807.132423,5183.802711,0.653302161,6637.715447,0.247089178,0.699623553,0.33882404,0,0,0,96.01879961,1,188.1968472,5279.82151,0.657792454,6807.132423,290.0733775,1,568.5438199,4893.729333,0.639360572,6132.560872,5280.068599,0.657760981,6807.125275,1.775651436,0.809173958,2.816149367,1642.201746,0.907700529,2921.629693,1643.977398,0.906690799,2921.535195
2004,146.4428651,0.958475907,275.1094377,3563.198902,0.589134638,4114.439636,3563.198902,0.589134638,4114.439636,146.4428651,0.958475907,275.1094377,0,0,0,0,0,0,3563.198902,0.589134638,4114.439636,0,0,0,3563.198902,0.589134638,4114.439636,3709.641767,0.599887159,4361.718262,139.3161902,1,273.0597327,843.8777924,0.532603527,880.9264859,983.1939826,0.533080083,1027.277414
2005,53.17681737,1,104.226562,1218.944459,0.585029506,1397.71221,1218.944459,0.585029506,1397.71221,30.42885427,1,59.64055438,22.74796309,1,44.58600766,0,0,0,1241.692422,0.576682153,1403.481244,0,0,0,1218.944459,0.585029506,1397.71221,1272.121276,0.566850917,1413.362101,0,0,0,2206.775888,0.784534459,3393.331785,2206.775888,0.784534459,3393.331785
2006,106.4130085,0.698416322,145.6683407,6895.617921,0.382605916,5171.076254,6595.380708,0.386247466,4993.000211,14.42898864,1,28.28081774,91.98401983,0.704346169,126.9856402,300.2372133,0.643304975,378.5624224,6987.601941,0.381623493,5226.600796,129.0739196,1,252.9848824,6466.306788,0.384938008,4878.689424,7002.03093,0.380740319,5225.272756,0,0,0,1541.936163,0.612812693,1852.039383,1541.936163,0.612812693,1852.039383
2007,208.212922,1,408.0973272,5139.907209,0.492270366,4959.239049,4927.673837,0.48391681,4673.785036,64.88782562,1,127.1801382,143.3250964,1,280.9171889,212.2333728,0.876070947,364.4257242,5283.232306,0.500821923,5186.078779,589.8936196,0.932403764,1078.037301,4337.780217,0.459050485,3902.869824,5348.120131,0.504705606,5290.483371,7.374290567,1,14.45360951,1277.579835,0.777844576,1947.766748,1284.954126,0.773217388,1947.355791
2008,323.6258933,0.927787764,588.5020422,5374.587838,0.506417673,5334.701085,5022.350938,0.524382885,5161.924357,185.9886336,1,364.5377218,137.6372598,0.84121954,226.9349786,352.2368998,0.665681902,459.5763499,5512.225097,0.500555388,5407.980988,479.3527813,0.542088644,509.3093309,4542.998157,0.554284478,4935.502191,5698.213731,0.496571609,5545.959475,22.32601512,0.859358049,37.60463995,2076.368019,0.694662869,2827.056498,2098.694034,0.696309007,2864.225535
2009,43.4371465,1,85.13680715,2454.078025,0.637383531,3065.810275,2088.437509,0.615488002,2519.40013,0,0,0,43.4371465,1,85.13680715,365.6405153,0.77317569,554.1005414,2497.515171,0.642475683,3145.001822,726.5591573,0.784963567,1117.832037,1361.878352,0.549586479,1467.001059,2497.515171,0.642475683,3145.001822,0,0,0,546.0986996,0.551295375,590.0809074,546.0986996,0.551295375,590.0809074
2010,52.58089689,0.630774157,65.00667502,4404.994304,0.436292369,3766.856181,3972.861131,0.42717169,3326.303851,8.75737706,0.723597387,12.42015772,43.82351983,0.69827092,59.9773514,432.1331726,0.54305898,459.960648,4448.817824,0.433532292,3780.264125,718.6800533,0.578619241,815.0505303,3254.181078,0.416580285,2657.030253,4457.575201,0.433833887,3790.340461,0,0,0,839.9099458,0.708826603,1166.887006,839.9099458,0.708826603,1166.887006
2011,43.74255505,1,85.7354079,3834.317413,0.648232708,4871.638718,3750.814923,0.651189162,4787.280454,0,0,0,43.74255505,1,85.7354079,83.50248979,0.752185708,123.1063837,3878.059968,0.644919926,4902.034772,126.2455018,1,247.4411836,3624.569422,0.641852791,4559.822399,3878.059968,0.644919926,4902.034772,3.145246061,1,6.16468228,813.8138317,0.730225514,1164.764542,816.9590777,0.731056292,1170.596425
2012,335.5972103,0.966509764,635.7416415,4477.118484,0.573314889,5030.925429,4359.74631,0.567148289,4846.340417,59.57701408,0.829515361,96.86329474,276.0201962,1,540.9995845,117.3721736,1,230.0494603,4753.13868,0.588073834,5478.585114,376.0881157,1,737.1327067,3983.658195,0.548750157,4284.6248,4812.715694,0.590448876,5569.658643,0,0,0,663.1637382,0.546483507,710.3197684,663.1637382,0.546483507,710.3197684
2013,104.0901961,0.837405211,170.8447183,7749.428749,0.619445915,9408.689888,7566.822369,0.626876872,9297.193233,0,0,0,104.0901961,0.837405211,170.8447183,182.6063807,1,357.9085061,7853.518945,0.614857256,9464.434492,38.2747499,1,75.0185098,7528.547619,0.628587257,9275.404225,7853.518945,0.614857256,9464.434492,0,0,0,169.220008,0.584903058,193.9955083,169.220008,0.584903058,193.9955083
2014,81.73938672,0.804159337,128.8337225,12046.85571,0.784573701,18525.22649,11433.20838,0.814041147,18241.92004,0,0,0,81.73938672,0.804159337,128.8337225,613.6473331,1,1202.748773,12128.5951,0.782124226,18592.69339,644.5919506,0.922045239,1164.91216,10788.61643,0.848459189,17941.25346,12128.5951,0.782124226,18592.69339,0,0,0,1093.232893,0.940300543,2014.816267,1093.232893,0.940300543,2014.816267
